timeMs,cellId,rnti,bwpId,frame,subFrame,slot,txRnti,srcL2Id,dstL2Id,psschRbStart,psschRbLen,psschSymStart,psschSymLen,psschMcs,ndi,rv,tbSizeBytes,avrgSinr,minSinr,psschTbler,psschCorrupt,sci2Tbler,sci2Corrupt,SEED,RUN
10179.928563000001,0,32,0,1017,9,0,3,3,255,0,20,1,12,14,1,0,291,42046.813949034244,37189.23279026565,0,0,0,0,1,1
10217.928563,0,16,0,1021,7,0,4,4,255,30,20,1,12,14,1,0,291,50.89352023014281,8.298217489306593,0,0,0,0,1,1
10267.928563,0,85,0,1026,7,0,1,1,255,30,20,1,12,14,1,0,291,6336.221626845931,5443.691398157377,0,0,0,0,1,1
10298.928563000001,0,73,0,1029,8,0,2,2,255,20,20,1,12,14,1,0,291,13.699691868271918,0.5657296902896829,0.9913462,1,0,0,1,1
10367.928563,0,48,0,1036,7,0,1,1,255,30,20,1,12,14,1,0,291,71.84070492487446,31.01735527801018,0,0,0,0,1,1
10398.928563,0,34,0,1039,8,0,2,2,255,20,20,1,12,14,1,0,291,3063.6590770572484,1907.893071921498,0,0,0,0,1,1
10467.928563,0,8,0,1046,7,0,1,1,255,30,20,1,12,14,1,0,291,317.16083365497576,166.54946929188125,0,0,0,0,1,1
10479.928563,0,90,0,1047,9,0,3,3,255,0,20,1,12,14,1,0,291,4171.8157147536385,3797.877794870223,0,0,0,0,1,1
10517.928563,0,75,0,1051,7,0,4,4,255,30,20,1,12,14,1,0,291,119766.7968271892,97041.07210633275,0,0,0,0,1,1
10579.928563,0,50,0,1057,9,0,3,3,255,0,20,1,12,14,1,0,291,172.65051645048612,111.46013943519753,0,0,0,0,1,1
10617.928563,0,33,0,1061,7,0,4,4,255,30,20,1,12,14,1,0,291,133.91794078562697,13.541714690685566,0,0,0,0,1,1
10686.928563,0,7,0,1068,6,0,3,3,255,10,20,1,12,14,1,0,291,105.13273586527373,8.955493242316223,0,0,0,0,1,1
10698.928563,0,92,0,1069,8,0,2,2,255,20,20,1,12,14,1,0,291,3598.5062227680273,2613.7429615782694,0,0,0,0,1,1
10767.928563,0,68,0,1076,7,0,1,1,255,30,20,1,12,14,1,0,291,9800.807156352597,5589.203496318467,0,0,0,0,1,1
10798.928563000001,0,50,0,1079,8,0,2,2,255,20,20,1,12,14,1,0,291,508.00458089227385,266.3077517416002,0,0,0,0,1,1
10867.928563,0,34,0,1086,7,0,1,1,255,30,20,1,12,14,1,0,291,733.402660119953,52.12911599753705,0,0,0,0,1,1
10898.928563,0,20,0,1089,8,0,2,2,255,20,20,1,12,14,1,0,291,14139.31066127252,9114.27136920246,0,0,0,0,1,1
10927.928563,0,48,0,1092,7,0,4,4,255,30,20,1,12,14,0,1,291,259.1068329057657,114.71526717329162,0.0001,0,0,0,1,1
